solution status,position type,GPS tracking elevation cut-off angle,PRN,glofreq,tracking status,pseudorange measurement,doppler freq,Carrier to noise density ratio,locktime,pseudorange residual,range reject code,pseudorange filter weighting
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,01832200,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,02232200,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,02832200,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00438220,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,01832220,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,02232220,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,02832220,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00438240,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,01832240,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,02232240,0.000,0.000,0.000,0.000,0.000,NA,0.000
